,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
716,fs/nls/nls_iso8859-2.c,308,1,1,1311247043.0,1311247043.0,1311247043.0,1,,0.0
717,drivers/memory/samsung/exynos-srom.c,212,7,8,1460351544.0,1578126056.0,1463565282.0,8,,0.0
718,arch/mips/netlogic/common/irq.c,354,6,17,1321002509.0,1535374325.0,1354609380.8531075,19,,0.0
719,drivers/clk/mediatek/clk-mt2701-img.c,72,2,2,1478245385.0,1558918521.0,1479365845.2222223,2,,0.0
720,drivers/ata/pata_pcmcia.c,382,8,8,1302853919.0,1580302483.0,1314759149.7958114,8,,0.0
721,tools/perf/builtin-kmem.c,2025,24,85,1311247043.0,1572840872.0,1400047455.1219754,104,1abecfcaa7bb,2.8846153846153846
722,drivers/net/ethernet/dec/tulip/pnic2.c,403,3,3,1311247043.0,1508146145.0,1312753476.8064516,3,,0.0
723,drivers/gpu/drm/amd/powerplay/smu_v12_0.c,523,9,24,1558523787.0,1577759974.0,1566885897.6902485,27,,0.0
724,drivers/net/wireless/mediatek/mt76/mt76x02_dfs.c,895,3,17,1511232653.0,1563958700.0,1523307095.5743017,10,6bf4a8e902aa,10.0
725,drivers/thermal/intel/intel_pch_thermal.c,430,11,17,1433914464.0,1580393748.0,1454507905.4813952,6,,0.0
726,drivers/gpu/drm/nouveau/nvkm/subdev/mmu/vmmnv41.c,113,1,3,1509479779.0,1528878353.0,1509994785.3893805,3,,0.0
727,drivers/pci/hotplug/acpi_pcihp.c,212,9,14,1306462980.0,1529916546.0,1354889327.9056604,15,6f6f42466d90,6.666666666666667
728,drivers/power/supply/lp8727_charger.c,627,10,44,1321537386.0,1559614293.0,1348532550.3716109,2,,0.0
729,drivers/net/ethernet/dec/tulip/uli526x.c,1841,17,19,1311247043.0,1575872183.0,1317985142.453558,24,fe06bf3d83ef,4.166666666666666
730,drivers/phy/marvell/phy-mvebu-a3700-comphy.c,329,2,3,1546939880.0,1564553713.0,1547676937.118541,3,,0.0
731,Documentation/usb/usbdevfs-drop-permissions.c,120,1,1,1456051081.0,1456051081.0,1456051081.0,1,,0.0
732,drivers/net/wireless/marvell/mwifiex/main.c,1811,36,127,1306480715.0,1575941031.0,1400647261.0386527,61,9ae3fbd109d9,11.475409836065573
733,arch/arm/mach-pxa/mxm8x10.c,481,8,10,1310647473.0,1559614293.0,1321933472.3908525,11,,0.0
734,drivers/gpu/drm/amd/display/dc/clk_mgr/dcn10/rv1_clk_mgr.c,286,10,18,1537774080.0,1569402730.0,1545859689.6538463,11,,0.0
735,drivers/mtd/mtdpart.c,1051,20,59,1306675953.0,1558581279.0,1411464602.7316842,104,3008ba870938,5.769230769230769
736,drivers/gpu/drm/radeon/vce_v1_0.c,384,4,7,1369282204.0,1559959361.0,1402174565.6666667,7,,0.0
737,drivers/media/usb/dvb-usb/dvb-usb-dvb.c,350,12,21,1311247043.0,1556511417.0,1342037254.3257143,20,,0.0
738,arch/sh/boards/mach-dreamcast/setup.c,39,2,2,1311247043.0,1545928306.0,1317264511.2820513,2,,0.0
739,arch/powerpc/boot/cuboot-mpc7448hpc2.c,43,2,2,1311247043.0,1558350485.0,1316993634.6744187,1,,0.0
740,tools/perf/builtin-config.c,258,4,22,1447772001.0,1567066739.0,1475452389.9573643,24,,0.0
741,drivers/input/serio/apbps2.c,222,4,4,1361803897.0,1558918501.0,1362918090.5450451,6,,0.0
742,drivers/net/ethernet/hisilicon/hns/hns_dsaf_ppe.c,630,13,19,1442472709.0,1558918501.0,1450179271.6444445,22,,0.0
743,arch/microblaze/kernel/cpu/mb.c,158,3,3,1306234631.0,1429085877.0,1365659843.443038,3,,0.0
744,samples/bpf/cpustat_kern.c,281,2,2,1519607952.0,1579500409.0,1519821092.4163702,2,7cf245a37ef0,50.0
745,kernel/time/alarmtimer.c,933,20,65,1310639713.0,1579787927.0,1389762100.0653806,88,6b6d188aae79,5.681818181818182
746,drivers/dma/idxd/submit.c,95,1,3,1579596257.0,1579596269.0,1579596257.5684211,3,,0.0
747,drivers/media/radio/radio-shark.c,419,6,12,1337585090.0,1536538754.0,1341198182.011933,16,,0.0
748,drivers/pinctrl/intel/pinctrl-cannonlake.c,853,3,11,1496737099.0,1563879387.0,1501698942.3317702,13,e50d95e2ad12,15.384615384615385
749,sound/usb/mixer.c,3597,33,100,1310183803.0,1581411921.0,1409947615.4234085,120,d75a170fd848,12.5
750,net/netfilter/nft_chain_nat.c,148,3,4,1551326572.0,1583487448.0,1552353108.8175676,4,6a42cefb25d8,50.0
751,drivers/net/ethernet/amazon/ena/ena_com.c,2893,6,43,1470809002.0,1581405471.0,1485241216.7079155,49,c207979f5ae1,30.612244897959183
752,arch/arm/kernel/module.c,416,11,15,1309440132.0,1559882952.0,1345558758.3173077,17,,0.0
753,fs/xfs/libxfs/xfs_dir2_data.c,1195,6,61,1309728456.0,1574214365.0,1400085955.7757323,43,,0.0
754,drivers/net/ethernet/mellanox/mlxsw/spectrum1_kvdl.c,428,1,4,1531065076.0,1533787151.0,1531077795.9929907,4,,0.0
755,tools/testing/selftests/ir/ir_loopback.c,210,3,5,1539673771.0,1565348579.0,1540444853.9238095,5,,0.0
756,drivers/net/ethernet/mellanox/mlx5/core/fs_counters.c,704,13,24,1463115341.0,1565486480.0,1530031910.362216,25,90bb76929116,28.000000000000004
