,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,drivers/gpu/drm/radeon/rv770_dpm.c,2586,5,36,1354188476,1528783420,1374090869,43,,0
1,drivers/crypto/hifn_795x.c,2694,15,17,1311247043,1578275030,1333205735,21,,0
2,drivers/spi/spi-geni-qcom.c,691,4,6,1538565265,1567605535,1539034917,7,,0
3,arch/nds32/math-emu/fnegs.c,21,1,1,1542856475,1542856475,1542856475,1,,0
4,tools/testing/selftests/powerpc/mm/subpage_prot.c,236,2,3,1418096647,1519629742,1425987399,3,,0
5,drivers/net/can/c_can/c_can_platform.c,494,11,27,1303125322,1570501008,1370566483,40,37b75a3aa8ec,2.5
6,tools/testing/selftests/powerpc/math/fpu_signal.c,131,2,2,1456739625,1558918501,1457519616,2,,0
7,drivers/gpu/drm/virtio/virtgpu_object.c,165,4,12,1378692176,1571205114,1507502347,24,b0138364da17,4.166666667
8,arch/nios2/kernel/sys_nios2.c,53,1,1,1415258397,1415258397,1415258397,1,,0
9,drivers/video/fbdev/platinumfb.c,704,8,10,1306157047,1575369530,1311042630,7,,0
10,drivers/edac/armada_xp_edac.c,635,2,2,1562881617,1562881618,1562881617,2,,0
11,arch/x86/realmode/rm/video-bios.c,1,1,1,1336483362,1336483362,1336483362,1,,0
12,sound/core/oss/io.c,141,2,2,1311247043,1495364937,1313858644,1,,0
13,drivers/clk/ti/clk-33xx-compat.c,218,1,1,1533896522,1533896522,1533896522,1,,0
14,drivers/staging/comedi/drivers/tests/example_test.c,72,1,1,1538549760,1538549760,1538549760,1,,0
15,drivers/net/ethernet/stmicro/stmmac/dwmac-mediatek.c,455,2,8,1544607331,1576474797,1550956801,9,f4ca7a9260df,11.11111111
16,drivers/input/misc/pm8941-pwrkey.c,326,5,6,1426859159,1565750798,1446289712,7,,0
17,drivers/gpu/drm/etnaviv/etnaviv_mmu.c,516,6,25,1449138089,1571213421,1511403740,34,18fa692d8020,2.941176471
18,drivers/iommu/virtio-iommu.c,1168,6,9,1547525997,1576651325,1548093647,8,ae24fb49d011,12.5
19,drivers/staging/wfx/bus_spi.c,268,2,10,1568874336,1576570492,1569085689,10,,0
20,sound/soc/cirrus/simone.c,86,7,8,1305014297,1559798062,1334309437,8,,0
21,drivers/net/slip/slhc.c,749,5,7,1306881908,1565019281,1315554621,8,baf76f0c58ae,12.5
22,drivers/usb/renesas_usbhs/rza.c,52,2,4,1515367853,1561444736,1523964729,4,,0
23,arch/m68k/coldfire/nettel.c,154,3,3,1311247043,1509520077,1313006753,2,,0
