,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,arch/sh/kernel/cpu/sh4a/setup-sh7785.c,608,6,10,1307232671.0,1570073353.0,1318206802.5213816,11,,0.0
1,drivers/misc/cardreader/rts5229.c,261,6,14,1352465613.0,1558252307.0,1359780086.651341,2,,0.0
2,drivers/crypto/ccree/cc_fips.c,154,3,8,1516584424.0,1574822946.0,1530297978.2727273,8,76a95bd8f9e1,12.5
3,fs/ntfs/sysctl.c,69,4,4,1311247043.0,1558489902.0,1318775220.5072465,3,,0.0
4,drivers/gpu/drm/amd/amdgpu/gmc_v7_0.c,1409,26,74,1429520967.0,1579154819.0,1457998583.0858765,116,bad4c3e66543,0.8620689655172413
5,sound/soc/ti/davinci-mcasp.c,2475,22,134,1306504576.0,1575465605.0,1433231833.3135355,17,34a2a80ff30b,23.52941176470588
6,lib/audit.c,85,4,4,1311247043.0,1509520077.0,1331133188.5294118,3,,0.0
7,tools/testing/selftests/arm64/signal/testcases/mangle_pstate_invalid_mode_el1h.c,15,1,1,1572001029.0,1572001029.0,1572001029.0,1,,0.0
8,drivers/xen/platform-pci.c,184,12,12,1311247043.0,1572567640.0,1394703771.4456522,17,,0.0
9,fs/cachefiles/daemon.c,748,5,8,1311247043.0,1558350481.0,1317944319.183155,9,,0.0
10,drivers/gpu/drm/nouveau/nvkm/engine/gr/gt200.c,49,1,2,1440053662.0,1482295610.0,1446088226.0,2,,0.0
11,tools/perf/util/help-unknown-cmd.c,118,6,11,1450016289.0,1562211147.0,1456173343.677966,11,,0.0
12,drivers/crypto/qat/qat_common/adf_isr.c,348,5,11,1401947060.0,1528783460.0,1417266074.7816093,3,,0.0
13,net/netfilter/ipvs/ip_vs_conn.c,1444,19,55,1306881908.0,1558918501.0,1339319271.6710527,63,a050d345cef0,4.761904761904762
14,net/netfilter/ipset/ip_set_hash_netport.c,508,12,40,1303125322.0,1570107362.0,1344314298.4901574,48,0b8d9073539e,2.083333333333333
