,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,sound/soc/sof/utils.c,172,2,2,1555038319.0,1575443748.0,1562156491.9069767,2,,0.0
1,drivers/gpu/drm/rcar-du/rcar_lvds.c,1006,10,30,1515534462.0,1578398286.0,1538484152.3598409,34,3986457110a0,17.647058823529413
2,net/nfc/hci/core.c,1105,15,64,1334058186.0,1583313871.0,1356735857.7076924,71,a3aefbfe4575,1.4084507042253522
3,drivers/virtio/virtio_ring.c,2329,27,68,1309681230.0,1582529203.0,1493035160.1009016,83,f13f09a12cbd,9.63855421686747
4,drivers/net/wireless/intel/iwlwifi/dvm/mac80211.c,1625,17,88,1320879311.0,1562917959.0,1335244427.1421537,16,,0.0
5,arch/s390/kernel/early.c,326,12,47,1311247043.0,1573711708.0,1415187703.6595092,81,9964f396f1d0,4.938271604938271
6,crypto/algboss.c,294,6,9,1311247043.0,1577966679.0,1324319292.6020408,11,,0.0
7,arch/m68k/emu/nfeth.c,265,4,5,1306881908.0,1575941031.0,1309136271.6566038,9,,0.0
8,drivers/gpu/drm/radeon/r300.c,1599,18,36,1311247043.0,1575342242.0,1320249320.5397124,46,,0.0
9,drivers/media/platform/sti/c8sectpfe/c8sectpfe-debugfs.c,244,3,3,1438236539.0,1573091558.0,1440198699.9713116,3,,0.0
10,drivers/staging/rtl8192u/r819xU_phy.c,1735,21,78,1311247043.0,1578158495.0,1372452088.0622478,91,,0.0
11,drivers/gpu/drm/msm/disp/mdp5/mdp5_ctl.c,755,8,24,1416286189.0,1567079416.0,1439622961.2225165,7,,0.0
12,drivers/acpi/pci_irq.c,528,13,18,1310712750.0,1566312259.0,1334701626.558712,30,29b49958cf73,10.0
13,samples/bpf/tcp_rwnd_kern.c,64,3,4,1498824165.0,1579500409.0,1502883406.84375,5,7cf245a37ef0,40.0
14,drivers/net/ethernet/marvell/octeontx2/nic/otx2_ethtool.c,662,2,2,1580121328.0,1580121329.0,1580121328.3836858,2,,0.0
15,drivers/input/keyboard/jornada680_kbd.c,244,6,6,1308572746.0,1572339293.0,1333035298.3893442,11,,0.0
16,drivers/net/eql.c,605,5,7,1311247043.0,1508136197.0,1318577175.416529,7,,0.0
17,arch/nds32/math-emu/fd2ui.c,30,1,1,1558315273.0,1558315273.0,1558315273.0,1,,0.0
18,drivers/net/ethernet/cavium/octeon/octeon_mgmt.c,1577,24,37,1306881908.0,1579615514.0,1331399504.2289157,17,e4dd5608033e,17.647058823529413
19,drivers/net/ethernet/mellanox/mlx5/core/health.c,806,17,38,1373189149.0,1573538870.0,1503136732.735732,53,c7ed6d0183d5,28.30188679245283
20,drivers/hid/hid-speedlink.c,78,3,4,1306492829.0,1558918501.0,1317632696.9615386,5,,0.0
21,certs/blacklist_nohashes.c,6,3,3,1491206844.0,1519195535.0,1498923831.3333333,3,,0.0
22,tools/perf/builtin-diff.c,1933,15,101,1311247043.0,1582428889.0,1435701999.1950336,139,2b1ac6403f88,2.158273381294964
23,drivers/staging/rts5208/general.c,25,3,3,1384247768.0,1540213826.0,1404044886.32,3,,0.0
24,drivers/gnss/ubx.c,154,3,4,1527819776.0,1554098174.0,1528015715.935065,4,,0.0
25,arch/arm/mach-omap1/board-nokia770.c,301,16,26,1307950199.0,1559614293.0,1330318099.6112957,32,,0.0
26,arch/powerpc/platforms/cell/spufs/coredump.c,201,6,11,1311247043.0,1558918502.0,1328991802.7512438,12,99acc9bede06,8.333333333333332
27,tools/testing/selftests/powerpc/benchmarks/context_switch.c,491,5,9,1449060249.0,1558918501.0,1454235218.759674,9,94fa56a96a39,11.11111111111111
28,drivers/scsi/arcmsr/arcmsr_attr.c,404,3,4,1311247043.0,1501588274.0,1327674178.621287,3,,0.0
29,tools/testing/selftests/bpf/verifier/value_ptr_arith.c,838,4,4,1548401083.0,1563252833.0,1548579724.9236276,4,,0.0
30,tools/testing/selftests/powerpc/utils.c,295,3,8,1448341538.0,1559008638.0,1506487846.1355932,8,1936f094e164,12.5
31,fs/jfs/jfs_imap.c,3157,7,8,1311247043.0,1558918505.0,1312074155.9385493,8,,0.0
32,sound/soc/fsl/fsl_asrc_dma.c,453,6,10,1406628533.0,1575460819.0,1451766628.7615893,13,,0.0
