,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,drivers/gpu/drm/nouveau/nvkm/subdev/ltc/base.c,141,2,10,1407615028.0,1525783187.0,1436762627.5957446,13,,0.0
1,drivers/staging/media/sunxi/cedrus/cedrus_mpeg2.c,245,3,4,1536807115.0,1573342201.0,1537347356.3142858,6,,0.0
2,drivers/clk/clk-s2mps11.c,285,13,22,1373188460.0,1540597660.0,1411534061.2350876,29,9c940bbe2bb4,10.344827586206897
3,mm/pagewalk.c,560,13,24,1311247043.0,1580722602.0,1478506966.2071428,35,373c4557d2aa,8.571428571428571
4,drivers/gpu/drm/i915/display/intel_cdclk.c,2850,22,101,1484914917.0,1583149482.0,1528262979.7726316,52,d147483884ed,7.6923076923076925
5,sound/pci/echoaudio/echo3g.c,110,6,7,1310706817.0,1578014177.0,1317808356.9363637,6,,0.0
6,drivers/char/sonypi.c,1549,10,16,1311247043.0,1558315142.0,1312549129.3085861,18,,0.0
7,arch/arm/mach-omap2/pdata-quirks.c,597,19,54,1380032895.0,1582520283.0,1448118013.7035177,94,90bdfa0b05e3,5.319148936170213
8,drivers/net/ethernet/apm/xgene-v2/ethtool.c,175,3,4,1490091483.0,1558252303.0,1491562442.7314286,6,,0.0
9,drivers/hwmon/occ/p9_sbe.c,107,1,5,1541660724.0,1548642203.0,1541791219.3551402,5,,0.0
10,arch/powerpc/boot/redboot-83xx.c,57,2,2,1311247043.0,1559614293.0,1315604363.1754386,1,,0.0
11,mm/page-writeback.c,2860,60,162,1282905912.0,1591019301.0,1374073189.3885975,213,6d9e8c651dd9,6.103286384976526
12,drivers/media/pci/mantis/mantis_hif.c,227,5,5,1303125322.0,1558315142.0,1309038759.524229,3,,0.0
13,drivers/scsi/aacraid/comminit.c,660,8,29,1311247043.0,1582851196.0,1399982312.3333333,31,45348de2c8a7,9.67741935483871
14,arch/x86/kernel/cpu/mtrr/amd.c,125,2,2,1311247043.0,1509520077.0,1312833227.272,1,,0.0
15,drivers/net/ethernet/sfc/falcon/qt202x_phy.c,493,5,7,1311247043.0,1559614293.0,1338640625.9046652,3,,0.0
16,drivers/infiniband/hw/mlx4/cm.c,447,7,13,1343954447.0,1579769721.0,1362456716.8322148,17,ea660ad7c1c4,5.88235294117647
17,drivers/gpu/drm/gma500/oaktrail_crtc.c,663,10,25,1320315746.0,1571326910.0,1352973691.39819,32,,0.0
18,net/bluetooth/a2mp.c,1033,13,75,1338268766.0,1559085478.0,1350270015.6727977,85,,0.0
19,sound/soc/img/img-i2s-out.c,624,6,8,1446619250.0,1584944333.0,1456213550.709936,8,,0.0
20,drivers/staging/speakup/speakup_soft.c,426,16,24,1307367152.0,1585107008.0,1371809526.774648,34,b96fba8d5855,2.941176470588235
21,arch/arm/mach-omap2/omap_device.c,704,24,59,1307609783.0,1559614293.0,1346520014.6819484,47,90de9634a5d5,4.25531914893617
22,fs/minix/dir.c,469,9,10,1311247043.0,1509520077.0,1318777279.3987207,11,,0.0
23,fs/read_write.c,2280,39,130,1310966495.0,1584674412.0,1431647138.0013158,164,edc58dd0123b,2.4390243902439024
24,arch/mips/loongson2ef/common/cs5536/cs5536_isa.c,326,3,3,1311247043.0,1558918501.0,1314152438.7116563,1,,0.0
25,drivers/media/i2c/ov8856.c,1271,3,4,1547505029.0,1565127283.0,1547614202.2368214,4,fa4bb7d3acbf,25.0
26,drivers/pci/controller/dwc/pcie-designware.c,615,16,47,1371803094.0,1575861605.0,1505068002.0569105,18,9024143e700f,11.11111111111111
27,drivers/gpu/drm/tiny/ili9225.c,455,6,23,1511071928.0,1586914794.0,1530964520.1208792,6,,0.0
28,drivers/ssb/sdio.c,606,4,6,1306157047.0,1533046509.0,1309543519.1056106,5,,0.0
29,drivers/irqchip/irq-sunxi-nmi.c,262,9,17,1395231677.0,1496728768.0,1422424169.6335878,17,cfe199afefe6,5.88235294117647
30,net/rxrpc/af_rxrpc.c,1063,17,75,1311247043.0,1584062529.0,1394076852.716839,97,7d7587db0d7f,15.463917525773196
31,fs/nilfs2/segbuf.c,516,8,15,1311247043.0,1536047190.0,1319145012.8507752,17,,0.0
32,drivers/net/wireless/broadcom/brcm80211/brcmfmac/firmware.c,752,11,38,1389622822.0,1557986649.0,1459439376.3390958,30,412dd15c8177,10.0
33,kernel/irq/generic-chip.c,648,17,27,1306396852.0,1521036919.0,1359037610.9953704,33,72364d320644,6.0606060606060606
34,drivers/ide/cy82c693.c,234,5,5,1311247043.0,1558242500.0,1313548889.3290598,5,,0.0
35,drivers/gpu/drm/mgag200/mgag200_main.c,160,10,19,1334646085.0,1588820593.0,1416744303.95625,52,d6d437d97d54,3.8461538461538463
36,drivers/usb/renesas_usbhs/mod_host.c,1574,9,48,1318255660.0,1565915072.0,1322522510.4440916,55,,0.0
37,drivers/usb/host/uhci-pci.c,311,8,10,1311247043.0,1582025581.0,1318947974.2282958,10,,0.0
38,net/mac80211/sta_info.c,2558,46,180,1306157047.0,1586411946.0,1393782777.9358873,229,911bde0fe5cc,8.296943231441048
39,drivers/mfd/tps65010.c,1063,9,12,1311247043.0,1558315142.0,1313655181.8711195,11,,0.0
40,net/socket.c,3900,79,194,1311247043.0,1584620216.0,1393620466.1135898,258,542d3065f2b1,10.465116279069768
41,drivers/media/rc/keymaps/rc-avermedia-m733a-rm-k6.c,92,6,6,1309672992.0,1561347734.0,1350279398.6630435,5,,0.0
42,drivers/clk/mediatek/clk-mt8183-venc.c,59,1,1,1551762345.0,1551762345.0,1551762345.0,1,,0.0
43,arch/mips/lantiq/prom.c,113,9,16,1311247043.0,1559614293.0,1355961391.2920353,24,9050d50e2244,4.166666666666666
44,arch/mips/alchemy/devboards/db1300.c,885,6,18,1320897806.0,1545178083.0,1339755179.4,22,,0.0
45,arch/h8300/mm/init.c,104,3,6,1422384456.0,1552318231.0,1430388625.9519231,19,,0.0
46,drivers/net/ipa/ipa_qmi_msg.c,663,1,1,1583418508.0,1583418508.0,1583418508.0,1,,0.0
47,drivers/net/hamradio/6pack.c,978,17,21,1311247043.0,1576117933.0,1320918424.3251534,25,5c9934b6767b,8.0
48,block/blk-wbt.c,852,14,41,1478666175.0,1588953615.0,1505873218.5234742,60,b84477d3ebb9,11.666666666666666
49,arch/mips/txx9/rbtx4939/prom.c,17,1,1,1311247043.0,1311247043.0,1311247043.0,0,,0.0
50,drivers/gpu/drm/msm/disp/dpu1/dpu_io_util.c,187,10,10,1530084369.0,1574840767.0,1533093598.4171124,10,,0.0
51,arch/powerpc/platforms/cell/spufs/switch.c,2208,4,4,1311247043.0,1583848291.0,1311482711.4451993,3,,0.0
52,drivers/pinctrl/sh-pfc/pfc-r8a77990.c,5323,7,45,1520409517.0,1567577818.0,1533080444.9385686,50,f7d8b568e204,14.000000000000002
53,drivers/ide/ide-io-std.c,262,3,3,1310888038.0,1558242535.0,1312188403.6374047,2,,0.0
54,kernel/configs.c,82,5,6,1311247043.0,1580722637.0,1388276413.207317,6,,0.0
55,fs/autofs/expire.c,620,4,11,1528362673.0,1571932991.0,1531613109.0903225,12,,0.0
56,drivers/usb/serial/mct_u232.c,778,8,19,1311247043.0,1509679710.0,1319956402.0565553,31,26cede343656,6.451612903225806
57,arch/x86/mm/physaddr.c,100,7,8,1311247043.0,1574986645.0,1338113511.96,7,,0.0
58,drivers/spi/spi-dw-pci.c,219,14,27,1306899084.0,1590739922.0,1445654360.652968,34,307ed83c8c20,11.76470588235294
59,tools/perf/tests/perf-record.c,334,9,40,1352483205.0,1588147935.0,1380384876.8682635,56,,0.0
60,drivers/scsi/constants.c,459,9,16,1311247043.0,1585704300.0,1354660302.2875817,28,a87eeb900dbb,7.142857142857142
61,drivers/net/ethernet/qlogic/qed/qed_sriov.c,5270,16,82,1462955772.0,1580109971.0,1474601388.8726754,85,25c020a90919,3.5294117647058822
62,drivers/rtc/lib.c,146,8,11,1311247043.0,1553057949.0,1353011002.5479453,5,,0.0
63,drivers/spi/spi-brcmstb-qspi.c,42,2,2,1472033064.0,1559614252.0,1474118330.3809524,2,,0.0
64,drivers/gpio/gpio-mvebu.c,1282,32,55,1348066378.0,1587093717.0,1439439515.9157567,70,19c26d90ff4c,10.0
65,drivers/dma/ti/edma.c,2748,24,107,1345640974.0,1582714761.0,1439581886.0709608,17,13a892d4aa24,35.294117647058826
66,drivers/staging/vc04_services/interface/vchiq_arm/vchiq_core.c,3638,22,77,1372779721.0,1581576001.0,1418516680.280099,105,77cf3f5dcf35,5.714285714285714
67,drivers/regulator/dbx500-prcmu.c,179,7,9,1326443431.0,1559008644.0,1341563809.687151,12,,0.0
68,drivers/platform/x86/classmate-laptop.c,1146,8,11,1311247043.0,1558252291.0,1322684606.8743455,11,18380f52dbac,9.090909090909092
69,drivers/md/dm-path-selector.c,140,2,2,1309672713.0,1311247043.0,1311235797.7857144,1,,0.0
70,drivers/pci/pci-driver.c,1681,40,95,1309588031.0,1587207168.0,1384944564.0333135,121,ec6a75ef8e33,15.702479338842975
71,drivers/rtc/rtc-palmas.c,376,5,10,1357201020.0,1472609125.0,1360596812.3244681,11,,0.0
72,drivers/ide/ide-cd.c,1864,13,30,1311247043.0,1587779821.0,1345182077.2988198,38,79d73346ac05,2.631578947368421
73,virt/kvm/arm/vgic/vgic-init.c,556,11,41,1448953355.0,1587713430.0,1479144822.7895684,51,958e8e14fd24,7.8431372549019605
74,drivers/watchdog/wafer5823wdt.c,323,8,8,1311247043.0,1560994126.0,1315081303.244582,8,,0.0
75,drivers/staging/rtl8188eu/hal/rtl8188e_dm.c,222,6,18,1377095635.0,1578984262.0,1446831521.4009008,35,,0.0
76,net/netfilter/xt_dccp.c,185,2,2,1311247043.0,1559614293.0,1312589568.6756756,1,,0.0
77,drivers/block/null_blk_zoned.c,280,9,19,1530877119.0,1589961711.0,1561951932.1714287,23,16c731fed6d8,21.73913043478261
78,drivers/gpu/drm/nouveau/nvkm/subdev/fb/gp10b.c,37,1,1,1490783477.0,1490783477.0,1490783477.0,2,,0.0
79,drivers/infiniband/hw/hfi1/vnic_sdma.c,322,6,8,1492000170.0,1564443633.0,1495924154.1987576,9,9aefcabe579b,22.22222222222222
80,arch/powerpc/platforms/8xx/micropatch.c,378,3,11,1311247043.0,1560465707.0,1513520013.9338624,10,,0.0
81,drivers/media/rc/keymaps/rc-videomate-tv-pvr.c,83,5,6,1309672992.0,1561347734.0,1366046541.686747,5,,0.0
82,drivers/net/wireless/ath/wil6210/netdev.c,557,11,31,1355980399.0,1572261877.0,1482325022.2621186,54,,0.0
83,drivers/usb/misc/legousbtower.c,900,10,35,1311247043.0,1572918111.0,1365042071.7822223,46,fd47a417e75e,21.73913043478261
84,sound/soc/meson/axg-spdifin.c,519,2,3,1544510832.0,1564240052.0,1544549538.921002,3,165be3c260f8,33.33333333333333
85,lib/mpi/mpih-cmp.c,43,2,2,1314770716.0,1558350471.0,1320435361.4651163,2,,0.0
86,drivers/macintosh/windfarm_max6690_sensor.c,143,7,8,1311247043.0,1583214646.0,1332353072.5664337,7,bcf3588d8ed3,14.285714285714285
87,drivers/net/wireless/intersil/orinoco/orinoco_cs.c,341,4,5,1306881908.0,1438836391.0,1307520416.9296188,1,,0.0
88,arch/alpha/kernel/ptrace.c,339,8,9,1311247043.0,1509520077.0,1317733768.7758112,9,,0.0
89,arch/sh/kernel/signal_64.c,567,7,16,1311247043.0,1558577847.0,1320150648.952381,25,,0.0
90,drivers/video/fbdev/carminefb.c,789,8,8,1309681048.0,1578275030.0,1312328188.5766792,4,,0.0
91,arch/arm/kernel/hibernate.c,105,4,5,1395681629.0,1559008641.0,1398789465.504762,6,767bf7e7a1e8,16.666666666666664
92,net/rxrpc/peer_event.c,416,6,27,1311247043.0,1580392236.0,1457801222.4471154,32,c410bf01933e,31.25
93,drivers/gpu/drm/amd/display/dc/dcn10/dcn10_stream_encoder.c,1569,12,26,1521441719.0,1578639169.0,1525752802.3193116,30,,0.0
94,drivers/gpu/drm/gma500/mdfld_device.c,543,6,14,1331193740.0,1559120269.0,1337373148.976059,15,,0.0
95,drivers/media/i2c/msp3400-driver.c,900,9,19,1311247043.0,1558918506.0,1325753240.911111,21,,0.0
96,drivers/iio/adc/berlin2-adc.c,380,2,9,1431919158.0,1438015144.0,1432849597.744737,10,,0.0
97,tools/perf/util/symbol.c,2415,36,175,1306400573.0,1588317195.0,1408811830.7064183,246,b5c0951860ba,4.0650406504065035
98,drivers/gpu/drm/vc4/vc4_v3d.c,523,6,22,1425272472.0,1563237727.0,1497910128.3403442,26,ce9caf2f79a5,7.6923076923076925
99,drivers/media/platform/xilinx/xilinx-vtc.c,377,2,2,1395805585.0,1512689737.0,1396115622.5384614,2,,0.0
100,drivers/misc/mei/hw-txe.c,1261,4,32,1389805114.0,1573058321.0,1401048189.9341793,40,16ae30ea17cd,2.5
101,samples/bpf/map_perf_test_user.c,461,8,15,1457420874.0,1559009409.0,1484044573.4316702,15,,0.0
102,drivers/mfd/lm3533-ctrlbank.c,144,2,3,1336019196.0,1558918501.0,1337693884.7638888,4,,0.0
103,drivers/platform/x86/intel_speed_select_if/isst_if_mmio.c,176,2,4,1561534726.0,1583218434.0,1561685614.7954545,4,,0.0
104,drivers/gpu/drm/vmwgfx/vmwgfx_irq.c,384,4,13,1311247043.0,1561263814.0,1374776400.1958225,16,,0.0
105,drivers/i2c/busses/i2c-robotfuzz-osif.c,196,5,6,1389371039.0,1559236172.0,1397381360.2448978,6,,0.0
106,arch/arm/mach-s3c64xx/mach-anw6410.c,233,11,15,1309876697.0,1514206473.0,1322419542.244635,24,,0.0
107,drivers/acpi/acpica/utobject.c,683,7,17,1311247043.0,1581648483.0,1321800827.7979503,25,,0.0
108,drivers/clk/sunxi/clk-sun4i-display.c,256,3,4,1459571311.0,1558918506.0,1462285219.8125,4,07ea0b4d9a0a,25.0
109,drivers/input/rmi4/rmi_f30.c,405,5,11,1457596618.0,1559614293.0,1472069814.2,11,,0.0
110,drivers/staging/vt6656/channel.c,164,5,7,1311247043.0,1510060072.0,1392692714.457317,22,,0.0
111,arch/powerpc/platforms/cell/setup.c,274,12,13,1306464384.0,1558918501.0,1318453353.850365,16,4acd09b4bfd4,6.25
112,sound/pci/emu10k1/emu10k1_main.c,2152,13,31,1307694997.0,1580981511.0,1326300456.413104,37,,0.0
113,drivers/power/supply/bq27xxx_battery_hdq.c,135,3,8,1311247043.0,1500437047.0,1426827761.9555554,2,,0.0
114,arch/mips/sibyte/bcm1480/irq.c,348,3,4,1311247043.0,1558918505.0,1312743296.8678162,5,,0.0
115,drivers/spi/spi-mpc512x-psc.c,627,14,25,1306899084.0,1569477097.0,1344954349.521531,31,1f2112af11e4,6.451612903225806
116,drivers/clk/st/clkgen-mux.c,101,6,15,1393489454.0,1558918501.0,1411435145.6039605,22,3be6d8ce639d,9.090909090909092
117,drivers/pinctrl/freescale/pinctrl-imx1.c,267,3,3,1401798829.0,1526715834.0,1404625493.258427,5,,0.0
118,drivers/dma/fsl-dpaa2-qdma/dpdmai.c,397,2,4,1569780279.0,1582777721.0,1570533911.7128463,4,7208474d1c7a,25.0
119,tools/perf/util/time-utils.c,559,6,20,1480385741.0,1570764099.0,1519630583.7960644,21,b3509b6ed7a7,4.761904761904762
120,arch/mips/bcm63xx/cpu.c,385,10,16,1293309757.0,1485608757.0,1336707163.4259741,16,,0.0
121,arch/arm/common/it8152.c,352,9,13,1307691021.0,1559614293.0,1312523013.7556818,14,,0.0
122,sound/soc/sunxi/sun8i-adda-pr-regmap.c,102,1,1,1539707887.0,1539707887.0,1539707887.0,1,,0.0
123,drivers/pinctrl/uniphier/pinctrl-uniphier-ld6b.c,964,3,20,1436845207.0,1564469006.0,1450022735.7821577,23,,0.0
124,tools/perf/util/trace-event-read.c,476,11,31,1311247043.0,1588065523.0,1349512593.107221,40,,0.0
125,arch/arm64/crypto/sha3-ce-glue.c,158,2,2,1516334678.0,1552399970.0,1517019462.0253165,3,,0.0
126,fs/squashfs/lzo_wrapper.c,120,5,6,1311247043.0,1591019123.0,1351347093.4916666,5,,0.0
127,arch/sh/kernel/traps.c,205,9,11,1311247043.0,1582554381.0,1345369867.7317073,10,,0.0
128,arch/x86/kernel/apb_timer.c,347,10,13,1306926306.0,1578275030.0,1316843805.9337175,20,,0.0
