,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
0,drivers/net/wireless/intel/iwlegacy/3945-mac.c,3926,18,76,1306480715,1574787328,1315750111,13,,0
1,net/netfilter/nf_dup_netdev.c,75,4,6,1451826138,1567942325,1496197227,7,,0
2,tools/testing/selftests/bpf/xdping.c,258,2,2,1559299634,1574828206,1559359822,2,,0
3,arch/parisc/math-emu/fmpyfadd.c,2642,2,2,1311247043,1558670650,1311340693,1,,0
4,drivers/mtd/devices/pmc551.c,847,8,11,1311247043,1567479150,1313976039,14,,0
5,drivers/media/platform/qcom/camss/camss-csiphy-3ph-1-0.c,257,2,2,1532493510,1534285648,1532500483,2,,0
6,virt/kvm/arm/vgic/vgic-debug.c,288,7,8,1484665753,1559519090,1491169612,8,388d4359680b,12.5
7,drivers/net/ethernet/mellanox/mlx5/core/eq.c,936,30,67,1373189149,1575616421,1512472110,116,0470e5e38c9d,11.20689655
8,arch/sh/boards/mach-microdev/io.c,123,2,2,1311247043,1545928306,1313155021,1,,0
9,drivers/extcon/extcon-fsa9480.c,396,2,2,1561094032,1563882181,1561101073,2,,0
10,fs/xfs/libxfs/xfs_dquot_buf.c,289,5,20,1381799872,1573549442,1447963239,26,,0
11,drivers/net/ethernet/netronome/nfp/nfpcore/nfp6000_pcie.c,1373,2,12,1486603049,1578275030,1490056984,13,,0
12,tools/testing/selftests/kvm/x86_64/vmx_set_nested_state_test.c,274,5,7,1556767901,1570542217,1557883224,9,9fd588772636,11.11111111
13,arch/powerpc/kernel/secure_boot.c,50,1,2,1572944422,1572944527,1572944454,2,,0
14,drivers/clk/at91/sam9x60.c,309,3,4,1554187856,1575948319,1554320010,4,66d9f5214c9b,50
15,arch/mips/emma/markeins/platform.c,199,3,3,1311247043,1558918505,1312730737,2,,0
16,tools/perf/tests/bpf-script-test-kbuild.c,21,2,2,1446788982,1560421745,1452200066,3,,0
17,drivers/ata/pata_sil680.c,441,7,10,1302853920,1566795445,1313364352,11,,0
18,drivers/media/usb/dvb-usb-v2/mxl111sf-phy.c,324,2,6,1314547535,1558918506,1315605995,5,,0
19,drivers/net/wireless/ath/ath9k/antenna.c,849,3,16,1338812629,1539079386,1356666914,20,72569b7be461,5
20,drivers/gpu/drm/vmwgfx/vmwgfx_execbuf.c,4071,19,88,1311247043,1575777208,1435351140,118,5ed7f4b5eca1,4.237288136
21,drivers/gpu/drm/nouveau/nvkm/engine/msppp/base.c,31,1,1,1440053661,1440053661,1440053661,1,,0
22,drivers/net/ethernet/qlogic/qlcnic/qlcnic_dcb.c,1147,4,12,1377236305,1539961871,1377982500,14,c94f026fb742,14.28571429
23,arch/powerpc/kernel/swsusp_64.c,24,4,4,1306477511,1559614298,1328701283,4,,0
24,drivers/mtd/nand/raw/mpc5121_nfc.c,834,17,37,1306830683,1574910852,1324038354,17,,0
25,net/ipv4/netfilter/ipt_SYNPROXY.c,120,8,13,1377564614,1562731559,1414467917,36,b83329fb473f,5.555555556
26,drivers/crypto/chelsio/chtls/chtls_io.c,1857,9,17,1522503720,1573005851,1523103309,17,f70b359b3830,5.882352941
27,arch/arm/mm/dump.c,452,8,12,1382515982,1559354935,1425796932,13,3b0c0c922ff4,7.692307692
28,samples/bpf/sockex3_user.c,84,7,9,1432025946,1551265450,1452091550,11,,0
29,drivers/iio/gyro/adxrs450.c,465,8,31,1307596147,1559008626,1327136599,10,,0
30,net/netfilter/nf_conncount.c,625,7,23,1512824468,1558242500,1526962420,27,a007232066f6,48.14814815
31,net/dccp/options.c,605,7,7,1311247043,1558918501,1312610926,8,,0
32,security/selinux/ss/sidtab.c,592,4,9,1311247043,1580694623,1536208188,14,39a706fbcf26,14.28571429
33,drivers/mtd/maps/ichxrom.c,383,8,8,1311247043,1578275030,1316526772,10,,0
34,samples/bpf/sampleip_user.c,200,7,8,1472726246,1579500409,1476275918,9,7cf245a37ef0,11.11111111
35,drivers/acpi/acpica/nseval.c,306,6,12,1311247043,1544675433,1360170611,24,,0
36,arch/x86/kvm/vmx/vmx.c,8109,119,615,1306221970,1583982256,1454382386,244,7a57c09bb1cb,14.3442623
37,drivers/net/wireless/realtek/rtlwifi/rtl8821ae/trx.c,989,7,16,1411349966,1558326239,1434486743,19,,0
38,drivers/net/ethernet/stmicro/stmmac/dwmac-sunxi.c,191,8,12,1389965087,1578280162,1426856243,12,52cc73e5404c,16.66666667
39,drivers/base/init.c,38,5,5,1311247043,1529566657,1327418515,6,,0
40,drivers/pinctrl/pinctrl-amd.c,987,25,37,1425970939,1578275030,1447601898,47,8dca4a41f1ad,4.255319149
41,drivers/input/misc/pmic8xxx-pwrkey.c,454,7,12,1311247043,1559085478,1397794923,20,eda5ecc0a6b8,5
42,drivers/media/usb/stk1160/stk1160-video.c,526,7,11,1344666777,1558918506,1348223379,14,,0
43,drivers/edac/i5000_edac.c,1585,10,22,1311247043,1573003982,1315733634,26,,0
44,sound/hda/hdac_controller.c,648,10,23,1428833173,1578898598,1448000642,25,1a7f60b9df61,20
45,arch/um/drivers/fd.c,95,3,3,1311247043,1566701356,1314744268,3,,0
46,arch/mips/pci/pci-tx4938.c,142,4,4,1311247043,1505807442,1330632228,3,19a8d6b7604d,66.66666667
47,net/netfilter/nft_meta.c,908,15,57,1381376480,1576641921,1508039049,73,6408c40c39d8,5.479452055
48,drivers/media/pci/saa7164/saa7164-cmd.c,572,5,7,1311247043,1558918506,1314841018,9,,0
49,drivers/irqchip/irq-versatile-fpga.c,232,11,18,1311247043,1509520077,1345575433,16,,0
50,sound/soc/codecs/tlv320aic23.c,615,10,14,1305014297,1559614293,1333904628,30,,0
51,drivers/gpio/gpio-wm831x.c,315,11,16,1307183908,1536816493,1334626414,20,,0
52,sound/hda/hdac_sysfs.c,467,5,10,1424761182,1562135712,1434849392,10,a92d5ee8666a,10
53,drivers/staging/rtl8723bs/hal/hal_pwr_seq.c,130,3,3,1490788071,1526919989,1491334768,1,,0
54,drivers/mfd/sky81452.c,91,3,3,1425022941,1559519090,1427270649,3,,0
55,sound/pci/echoaudio/darla20_dsp.c,129,3,3,1311247043,1439182973,1315830899,3,,0
56,arch/alpha/kernel/core_marvel.c,1147,5,8,1311247043,1552318231,1314062363,9,,0
57,tools/testing/selftests/bpf/progs/btf__core_reloc_nesting___err_dup_incompat_types.c,4,1,1,1565159995,1565159995,1565159995,1,,0
58,drivers/iio/proximity/srf08.c,560,2,6,1485346039,1559120264,1491649658,7,,0
59,drivers/input/misc/drv2665.c,313,5,5,1431072163,1558918521,1431989331,6,,0
60,drivers/soc/imx/gpcv2.c,654,6,15,1490660385,1566383584,1522080546,15,3637f12faf50,13.33333333
61,drivers/dax/device.c,486,8,45,1463199644,1561530427,1491365047,34,50f44ee7248a,17.64705882
62,net/ipv4/ip_fragment.c,751,30,65,1306881908,1564737303,1390053504,111,d5dd88794a13,11.71171171
63,net/ipv4/gre_demux.c,222,13,19,1303125322,1583589914,1395928370,26,17c25cafd4d3,19.23076923
64,arch/s390/boot/version.c,7,1,1,1563175833,1563175833,1563175833,1,,0
65,drivers/net/ethernet/toshiba/spider_net_ethtool.c,172,4,4,1311247043,1558918502,1329011671,4,,0
66,drivers/input/joystick/warrior.c,203,4,4,1308572746,1558350476,1310883819,5,,0
