file_name,lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,last_fixes,fixes_percent
drivers/pci/hotplug/pnv_php.c,1048,11,29,1463733702,1574318957,1480749158,33,49f4b08e6154,15.15151515
drivers/net/ethernet/mellanox/mlx5/core/cmd.c,2011,42,79,1373189149,1571905413,1430083042,98,6a6fabbfa3e8,20.40816327
drivers/gpu/drm/i915/gem/i915_gem_mman.c,895,4,25,1559010587,1580366371,1568980344,31,2933803bdcd8,22.58064516
sound/usb/line6/pcm.c,607,11,34,1311247043,1575859779,1398610331,37,1bc8d18c75fe,8.108108108
drivers/net/ethernet/jme.c,3303,32,44,1306881908,1575941031,1312658185,49,d894be57ca92,2.040816327
drivers/net/ethernet/mellanox/mlx5/core/eswitch_offloads.c,2478,25,141,1467355855,1581478359,1526461168,187,383de108157c,17.64705882
fs/ubifs/xattr.c,724,18,31,1311247043,1559120270,1380244050,42,4dd0481584d0,14.28571429
drivers/spi/spi-bcm-qspi.c,1442,10,22,1472033063,1578361152,1477947185,25,79629d0f7ce5,52.0
drivers/iio/inkern.c,945,28,44,1329306481,1560509639,1397166629,47,c773f70015f6,6.382978723
kernel/power/snapshot.c,2738,36,57,1311247043,1581663981,1362164350,66,18451f9f9e58,7.575757576
drivers/gpu/drm/msm/disp/mdp4/mdp4_plane.c,395,16,27,1372221846,1564880151,1402766992,9,070473bcf703,11.11111111
drivers/target/target_core_pr.c,4100,30,96,1304327530,1558918505,1337334700,110,bdc79f0ed12f,0.9090909090000001
tools/perf/util/intel-bts.c,929,6,31,1437132823,1568777773,1443583071,41,3ea223adcb0c,2.43902439
net/sunrpc/auth_gss/gss_rpc_upcall.c,397,7,15,1337940595,1549855515,1367927025,19,a1d1e9be5a1d,5.263157895
sound/soc/codecs/rt5514-spi.c,514,10,22,1465209211,1575962769,1483178103,28,060d0bf49187,10.71428571
drivers/leds/trigger/ledtrig-timer.c,140,6,9,1311247043,1559614293,1409042701,7,8c0f693c6eff,14.28571429
drivers/infiniband/core/uverbs_uapi.c,731,6,23,1533816876,1578482525,1539282639,26,cac2a301c02a,7.692307692000001
kernel/sched/stop_task.c,144,10,18,1311247043,1573193760,1369630220,23,a0e813f26ebc,13.04347826
drivers/cpufreq/ti-cpufreq.c,428,9,15,1486092568,1568202433,1514226015,18,e5d295b06d69,5.555555556
drivers/net/ethernet/natsemi/ns83820.c,2260,21,25,1306881908,1578275030,1312812977,28,d894be57ca92,3.571428571
drivers/net/ethernet/ti/cpmac.c,1247,21,31,1306881908,1579615773,1323359665,38,5579f28cc8ba,5.263157895
arch/arm/kernel/machine_kexec.c,207,14,23,1307334946,1523446519,1369697509,26,0d70262a2d60,7.692307692000001
net/ipv6/addrconf.c,7148,109,323,1306881908,1583825257,1391669717,419,60380488e4e0,15.99045346
drivers/clk/samsung/clk-s3c64xx.c,475,9,12,1374602115,1559614293,1381212879,16,02c952c8f95f,6.25
drivers/hwmon/nct7802.c,1113,6,15,1404041925,1574996165,1441502195,16,e51a7dda2998,25.0
arch/x86/kvm/i8259.c,655,13,22,1311247043,1576039663,1328879785,23,14e32321f360,4.347826087
drivers/net/ethernet/ni/nixge.c,1420,6,12,1522132995,1572806433,1525144872,16,1a4b62a0b8a3,12.5
fs/erofs/xattr.c,706,7,25,1532607712,1575187269,1537598079,7,926d16501764,14.28571429
kernel/bpf/syscall.c,3471,45,212,1411661817,1579510426,1518708242,266,2e3a94aa2bfc,18.04511278
drivers/scsi/vmw_pvscsi.c,1622,14,24,1311247043,1575376252,1338308023,29,c527de41aea2,3.448275862
virt/kvm/coalesced_mmio.c,194,11,13,1310980634,1573286900,1350988499,13,b60fe990c6b0,23.07692308
drivers/net/ethernet/arc/emac_main.c,1033,20,39,1372038867,1579615773,1408278987,45,2d2924af9688,6.666666667
arch/mips/boot/compressed/decompress.c,125,9,10,1293289909,1558918501,1347465006,11,7bbaf27d9c83,18.18181818
drivers/media/v4l2-core/v4l2-ioctl.c,3276,39,178,1308892454,1578452400,1401941335,173,1dc8b65c944e,2.89017341
drivers/nfc/st21nfca/i2c.c,613,5,35,1395701507,1559236197,1403829274,51,b58afe6d6d3a,1.960784314
drivers/hid/hid-a4tech.c,164,6,6,1311247043,1560233600,1367587668,6,1c703b53e5bf,33.33333333
drivers/crypto/ccree/cc_request_mgr.c,665,2,11,1516584420,1579148081,1523497255,12,15fd2566bf54,8.333333332999999
fs/ocfs2/namei.c,2909,25,54,1311084628,1580393513,1333935769,64,c25a1e0671fb,4.6875
arch/powerpc/platforms/powernv/opal-rtc.c,83,8,9,1316425501,1558918501,1369699153,11,682e6b4da5cb,9.090909091
drivers/vfio/pci/vfio_pci_intrs.c,677,12,22,1343693784,1574848150,1367311287,29,d567fb881916,6.896551724
drivers/watchdog/sama5d4_wdt.c,382,9,15,1438856206,1574038236,1487941425,17,2e0432f8f8ad,5.882352941000001
fs/fscache/main.c,192,4,6,1311247043,1558918501,1317245770,9,1ff22883b0b2,11.11111111
drivers/i2c/busses/i2c-bcm-iproc.c,1115,8,21,1420604650,1569816869,1507332858,24,b3d604d40516,8.333333332999999
drivers/pinctrl/sh-pfc/pfc-r8a7791.c,6724,17,52,1381963565,1553156267,1412958775,58,a4b0350047f1,13.79310345
fs/nfs/nfs4renewd.c,157,7,11,1311247043,1580348605,1340666966,10,7dc2993a9e51,20.0
arch/arm/mm/cache-l2x0.c,1817,27,83,1246581886,1566913762,1398117519,105,9a2c33a422d6,0.9523809520000001
net/bridge/br_stp_bpdu.c,247,9,13,1311247043,1576066030,1324966405,14,2446a68ae6a8,7.142857143
drivers/scsi/ufs/ufs-mediatek.c,569,5,13,1552712687,1579500494,1561883447,14,7766d129bbff,14.28571429
drivers/gpu/drm/i915/i915_vgpu.c,302,12,21,1423566347,1566543451,1462815203,30,b368f53378a4,3.333333333
drivers/bluetooth/hci_intel.c,1243,13,44,1428135182,1564457625,1446768208,48,b36a1552d731,16.66666667
drivers/media/i2c/mt9v111.c,1283,4,6,1532483071,1577839404,1532528359,6,484f9b372dd8,16.66666667
drivers/usb/usbip/vudc_rx.c,241,5,5,1457444939,1513941826,1462193851,6,238b7bd91b16,16.66666667
arch/s390/kernel/dis.c,581,9,23,1311247043,1572517516,1421599279,45,26f4e759ef9b,4.444444444
drivers/infiniband/core/cma_configfs.c,359,7,8,1450853815,1563847044,1459251832,9,a7d0e959fab8,11.11111111
drivers/net/ethernet/mellanox/mlxsw/spectrum_router.c,8131,12,295,1467428415,1581074786,1507979310,359,490f0542a7f7,18.66295265
drivers/clk/sunxi-ng/ccu_mult.c,172,5,15,1472524687,1558918501,1477063366,15,1d42460a4934,20.0
arch/arm64/crypto/crct10dif-ce-glue.c,125,4,10,1480934545,1559614293,1511791004,10,d72b9d4acd54,10.0
fs/ext4/mballoc.c,5390,63,143,1308622955,1582024131,1329902272,167,b80b32b6d5e7,2.395209581
arch/arc/kernel/intc-compact.c,170,4,13,1425554036,1559614293,1436359579,15,e8206d2baa41,6.666666667
drivers/char/tpm/tpm_tis_spi_main.c,298,9,14,1463589353,1568950359,1506215040,1,faaca0a0d48e,100.0
drivers/gpu/drm/nouveau/nouveau_debugfs.c,281,6,12,1360330933,1551356699,1441879318,17,909e9c9c4283,5.882352941000001
samples/bpf/syscall_tp_kern.c,73,4,4,1501833610,1579500409,1519834821,4,7cf245a37ef0,50.0
drivers/clk/axs10x/i2s_pll_clock.c,228,3,4,1462156745,1571149379,1463129391,4,6205406cf6f2,25.0
drivers/usb/roles/intel-xhci-usb-role-switch.c,225,6,8,1521532630,1578275030,1531304371,9,009b1948e153,33.33333333
drivers/gpu/drm/panfrost/panfrost_job.c,595,7,12,1536560878,1580714844,1540803475,15,7e0cf7e9936c,40.0
drivers/iio/pressure/cros_ec_baro.c,211,2,6,1485240101,1573005333,1491460229,11,e9a4cbcaaa39,9.090909091
drivers/iio/gyro/st_gyro_i2c.c,130,8,11,1359128640,1576496333,1410026091,17,45a4e4220bf4,11.76470588
arch/um/kernel/skas/mmu.c,167,11,15,1311247043,1575449668,1357050613,15,0dafcbe128d2,6.666666667
drivers/regulator/da9062-regulator.c,1058,9,17,1432015830,1574398314,1467466550,20,c15d5a645875,15.0
mm/cma_debug.c,199,9,12,1428997497,1575107845,1442290122,18,da094e42848e,5.555555556
drivers/pinctrl/pinctrl-rza2.c,518,3,5,1542251727,1572877614,1542834866,5,930d3a4907ae,20.0
fs/btrfs/check-integrity.c,3036,32,70,1320138256,1575526797,1342196046,96,8ddc319706e5,2.083333333
net/ipv4/bpfilter/sockopt.c,78,5,7,1526901750,1557902452,1539146395,7,752beb5ec441,42.85714286
drivers/gpu/drm/amd/amdgpu/amdgpu_device.c,4381,84,381,1429520121,1580106910,1503562868,627,b8b721305770,1.435406699
drivers/base/bus.c,1199,23,38,1311247043,1575894781,1328564576,45,1c34203a1496,2.222222222
drivers/iommu/arm-smmu.c,2339,36,159,1372069885,1578641102,1476913620,241,34d1b0895dbd,3.319502075
drivers/net/ethernet/cirrus/ep93xx_eth.c,876,16,17,1306881908,1573746204,1313567063,19,c823abac1792,5.263157895
fs/notify/fanotify/fanotify_user.c,1150,22,73,1308043785,1565580000,1417286920,89,b2d22b6bb33a,2.247191011
net/ipv4/tcp_ulp.c,166,6,12,1497411434,1578694321,1512700305,13,33bfe20dd711,53.84615385
drivers/target/target_core_pscsi.c,1106,24,65,1304327530,1558918505,1345032066,90,8e1ceafe50ec,2.222222222
net/9p/trans_xen.c,558,9,16,1491365037,1556635173,1493493610,17,80a316ff1627,17.64705882
drivers/gpu/drm/i915/gt/selftest_gt_pm.c,79,2,6,1569557329,1574819817,1570976682,6,c601cb2135fd,16.66666667
arch/arm/kernel/return_address.c,54,5,5,1311247043,1559614293,1320615083,8,fb033c95c94c,12.5
drivers/media/platform/omap3isp/isp.c,2487,22,82,1306950372,1571288497,1361179728,102,2ec7debd44b4,4.901960784
net/sctp/input.c,1322,21,74,1306881908,1575870318,1369940540,92,312434617cb1,14.13043478
drivers/ide/ide-proc.c,633,6,8,1311247043,1580722637,1322154584,10,f8ff6c732d35,10.0
drivers/infiniband/hw/cxgb4/mem.c,834,27,46,1311247043,1579070611,1394088256,60,836a0fbb3e76,11.66666667
drivers/net/ethernet/apm/xgene/xgene_enet_hw.c,1027,13,43,1407395668,1564104037,1438077367,55,85d2c5cde158,7.272727272999999
drivers/gpu/drm/drm_ioctl.c,929,33,75,1311247043,1572584593,1432098835,119,22a884cfe5a4,2.521008403
drivers/infiniband/sw/rdmavt/ah.c,181,8,13,1452045401,1561702924,1465910018,19,4f32fb921b15,10.52631579
net/ipv4/tcp_ipv4.c,2821,70,297,1306881908,1578527961,1384292768,433,8dbd76e79a16,12.70207852
drivers/iio/adc/cpcap-adc.c,1042,4,7,1490272722,1570958493,1490812822,8,81b039ec36a4,12.5
drivers/acpi/acpi_dbg.c,789,10,15,1449110580,1559614293,1451363422,16,6010ce3f2e57,12.5
net/ethtool/bitset.c,739,1,3,1577433328,1582548132,1577464503,3,e34f1753eebc,66.66666667
net/ipv6/exthdrs_offload.c,37,4,4,1352940559,1558918501,1363111544,5,e41b0bedba02,20.0
drivers/gpu/drm/amd/powerplay/navi10_ppt.c,2378,16,120,1548935186,1581561745,1562856767,143,8b94d0517902,2.7972027969999997
drivers/infiniband/hw/bnxt_re/main.c,1762,10,51,1486667973,1574613574,1504700218,60,fca5b9dc0986,13.33333333
drivers/spi/spi-fsl-spi.c,856,18,39,1306899084,1578988960,1350411625,51,3194d2533eff,7.843137255
drivers/xen/cpu_hotplug.c,123,10,11,1310374312,1551919282,1343576733,10,201676095dda,10.0
drivers/of/irq.c,687,32,61,1311247043,1565162551,1370344030,67,531da74075a7,5.970149254
drivers/net/ethernet/sfc/farch.c,2986,13,43,1349436662,1559614293,1377289994,51,cafb39600e7a,7.843137255
net/ipv6/exthdrs.c,1168,26,42,1310701654,1558918501,1377458290,46,ccc12b11c533,10.86956522
drivers/soc/renesas/r8a77970-sysc.c,37,3,5,1505230640,1566970576,1514608075,7,b5eb730e031a,71.42857143
drivers/net/wireless/marvell/libertas_tf/if_usb.c,919,14,16,1311247043,1558918501,1320277277,11,3348ef6a6a12,9.090909091
