lines,authors,shas,the_first_time,the_last_time,average_date,total_shas,fixes_percent
858,20,43,1362819777,1565254168,1400285800,63,3.174603175
325,3,4,1311247043,1543636390,1345571994,6,0
850,8,14,1311247043,1558918505,1323146133,17,0
89,4,4,1505203100,1547174370,1506471109,6,0
343,11,14,1471522981,1567060203,1490122199,14,0
151,6,16,1311247043,1556606563,1357522536,39,7.692307692
1861,9,19,1354232661,1577312011,1383826766,27,0
463,5,7,1311247043,1559519102,1313887913,7,14.28571429
64,4,5,1473230843,1564577780,1508120810,6,0
529,9,22,1309677661,1524701289,1328817285,26,0
734,10,10,1330676480,1564558274,1332728100,12,0
145,6,6,1311247043,1558918515,1318688811,6,0
170,4,5,1375857714,1558870535,1397949405,7,0
283,10,13,1311247043,1559614293,1325882396,5,0
551,5,5,1308572746,1558918505,1309636638,6,0
76,4,4,1311247043,1578275030,1319370431,3,0
261,10,23,1310820296,1572716694,1334458426,29,0
124,4,8,1443625316,1578910965,1477239838,15,6.666666667
57,2,2,1453441193,1558918506,1455291672,3,0
598,16,31,1311247043,1566344140,1338121401,33,0
793,17,39,1317871932,1561488701,1348120726,43,0
128,1,1,1311247043,1311247043,1311247043,0,0
307,9,13,1308567749,1578109765,1389575834,18,5.555555556
618,6,10,1485533317,1570956512,1486813243,11,18.18181818
55,6,8,1311247043,1566701357,1338849251,9,11.11111111
1306,9,19,1306881908,1504248271,1315031457,27,0
244,3,6,1393310930,1520323038,1397683586,6,0
156,5,21,1516084488,1573227926,1538539098,25,16
517,12,18,1340607169,1575254286,1352042455,23,0
743,6,10,1477548335,1579506088,1478752368,12,16.66666667
622,1,1,1573190548,1573190548,1573190548,1,0
35,5,5,1306662216,1509679710,1351696615,27,0
114,2,2,1426066805,1558337869,1427227077,3,0
68,1,1,1343812426,1343812426,1343812426,1,0
692,18,38,1408542962,1572427857,1424323871,6,16.66666667
1171,9,23,1475330397,1580109975,1481222249,43,6.976744186
1806,16,30,1490788071,1570721605,1492335518,39,0
379,8,24,1311247043,1558870535,1453527771,29,3.448275862
231,4,9,1425905440,1551616900,1489801643,10,30
190,3,3,1450235510,1559614293,1450812517,3,33.33333333
95,6,7,1310706817,1578014177,1318844354,6,0
1608,20,64,1507119004,1580959746,1542444833,89,19.1011236
1048,11,29,1463733702,1574318957,1480749158,33,15.15151515
2011,42,79,1373189149,1571905413,1430083042,98,20.40816327
158,4,6,1311247043,1566003760,1468922914,9,0
218,13,22,1309671348,1558581279,1373878474,29,0
222,3,4,1389618716,1558918506,1407880060,4,0
1651,13,91,1402474669,1529313077,1411677548,111,0
858,9,23,1311126822,1573640102,1324244913,39,0
121,2,2,1311247043,1558918505,1313293915,1,0
68,3,3,1491189878,1559614293,1492930371,3,0
161,8,8,1311247043,1558252303,1333053744,9,0
895,4,25,1559010587,1580366371,1568980344,31,22.58064516
979,7,8,1456450505,1571472394,1457269561,8,0
607,11,34,1311247043,1575859779,1398610331,37,8.108108108
264,2,2,1577419711,1580697103,1577432125,3,0
3303,32,44,1306881908,1575941031,1312658185,49,2.040816327
67,5,8,1317701839,1559614293,1348425275,16,0
2478,25,141,1467355855,1581478359,1526461168,187,17.64705882
724,18,31,1311247043,1559120270,1380244050,42,14.28571429
1442,10,22,1472033063,1578361152,1477947185,25,52
368,1,4,1392090183,1420425884,1393344192,5,0
379,6,19,1440053657,1575867602,1456408151,24,0
945,28,44,1329306481,1560509639,1397166629,47,6.382978723
273,3,3,1311247043,1533782840,1312155373,2,0
4,1,1,1539847001,1539847001,1539847001,1,0
911,5,11,1306157047,1558315142,1358688071,13,0
553,12,32,1437100693,1557739031,1450032398,28,0
507,4,11,1477980868,1563895113,1495050870,13,0
2738,36,57,1311247043,1581663981,1362164350,66,7.575757576
617,3,5,1539742091,1568903104,1539974078,5,0
88,2,2,1542084648,1544675076,1542114085,15,0
13,2,2,1452680139,1559354939,1460885893,2,0
121,4,8,1311247043,1570073353,1330217724,8,0
706,8,12,1311247043,1564105876,1315545151,11,0
395,16,27,1372221846,1564880151,1402766992,9,11.11111111
4100,30,96,1304327530,1558918505,1337334700,110,0.909090909
121,6,8,1354074373,1561698425,1365168909,15,0
929,6,31,1437132823,1568777773,1443583071,41,2.43902439
368,4,9,1381463076,1558918501,1402689283,13,0
617,3,12,1324660630,1547903681,1379413455,5,0
325,7,24,1310701654,1570533099,1415539560,27,0
145,2,3,1311247043,1558918501,1314136530,2,0
397,7,15,1337940595,1549855515,1367927025,19,5.263157895
86,5,5,1431436072,1558918501,1439056104,5,0
514,10,22,1465209211,1575962769,1483178103,28,10.71428571
140,6,9,1311247043,1559614293,1409042701,7,14.28571429
368,1,5,1490090350,1539219462,1495048537,5,0
151,6,6,1311247043,1558252291,1347913486,5,0
731,6,23,1533816876,1578482525,1539282639,26,7.692307692
3256,5,9,1311247043,1565569428,1316880490,11,0
3,1,1,1571110129,1571110129,1571110129,1,0
