lines,authors,shas,the_first_time,the_last_time,average_time,total_shas,true_y,linear_y,tree_y
7.595889918,2.995732274,4.369447852,21.12937487,21.18263923,21.14366506,4.564348191,0.191698966,0.073609257,0.19752322
7.217443432,1.386294361,2.079441542,21.13333548,21.17079609,21.13355547,2.197224577,0.328165375,0.219913394,0.122291022
5.743003188,1.609437912,1.945910149,21.02288294,21.16731646,21.02447615,2.079441542,0.118217054,0.144857403,0.122291022
7.544861069,2.708050201,3.761200116,21.1190149,21.17621036,21.12327017,3.871201011,0.097222222,0.106664738,0.254455694
7.254177846,2.995732274,3.871201011,21.10356803,21.18588382,21.11362233,3.988984047,0.272179156,0.097966222,0.254455694
6.875232087,3.218875825,4.343805422,20.99424446,21.15294008,21.03076403,4.682131227,0.038903244,-0.024227954,0.045129793
5.638354669,1.386294361,1.791759469,20.99424446,21.16682442,21.02741648,1.945910149,0.136212625,0.155539738,0.122291022
8.439663989,2.63905733,3.135494216,20.99424446,21.16683071,20.99503909,3.33220451,0.028239203,0.057131536,0.02556391
5.446737372,0,0.693147181,21.16709895,21.17981863,21.16726446,0.693147181,0.496124031,0.330550429,0.498452012
7.620705087,2.833213344,4.043051268,21.12660926,21.17318245,21.13264502,4.189654742,0.114399812,0.08976309,0.254455694
8.318742253,3.401197382,4.564348191,20.98895344,21.16725815,21.01394444,4.700480366,0.001409443,-0.023884626,0.117066564
5.513428746,1.386294361,2.079441542,21.11317329,21.13919437,21.12071993,2.302585093,0.093023256,0.184820586,0.19752322
8.415603336,2.708050201,4.356708827,20.99424446,21.17959833,21.0567113,4.49980967,0.01464255,0.015865354,0.022863525
6.834108739,3.044522438,3.36729583,20.98803131,21.17686827,20.99334367,3.63758616,0.01876785,0.034189976,0.0145022
4.356708827,0.693147181,1.098612289,21.14582398,21.15774555,21.14620675,1.098612289,0.328165375,0.285624019,0.33126935
6.450470422,2.197224577,3.401197382,21.11797472,21.1767003,21.13364879,3.63758616,0.045287638,0.117302425,0.04969855
6.575075841,3.17805383,3.63758616,20.9907418,21.17456813,21.02524224,3.988984047,0.010910135,0.032797315,0.0145022
5.866468057,2.48490665,3.555348061,20.99424446,21.17807354,21.05358463,3.871201011,0.097222222,0.046610593,0.0145022
4.927253685,1.098612289,1.098612289,21.16343887,21.18037444,21.1637833,1.098612289,0.328165375,0.317529451,0.33126935
7.155396302,3.688879454,4.672828834,20.98803131,21.17152878,21.05865718,5.068904202,0.125347375,-0.014635062,0.059111527
7.503840747,2.197224577,3.737669618,21.14871903,21.17959833,21.14983866,4.248495242,0.006644518,0.083702898,0.024962653
8.164225652,2.772588722,4.787491743,21.09172173,21.18263287,21.12076448,4.86753445,0.131782946,0.030006111,0.052120317
6.021023349,2.079441542,2.772588722,21.08656498,21.15454654,21.09288191,2.833213344,0.051527588,0.142298569,0.03869969
5.834810737,2.302585093,3.258096538,21.04681583,21.17235894,21.07040661,3.17805383,0.07622739,0.106843233,0.052631579
6.198478716,2.63905733,3.526360525,20.96754288,21.16770438,21.01035251,3.713572067,0.090565324,0.028484967,0.0145022
5.497168225,2.079441542,2.708050201,21.04640952,21.16725815,21.07878996,3.135494216,0.079878665,0.110273812,0.068553737
7.173191742,1.609437912,1.945910149,21.09459275,21.16764334,21.09534471,1.945910149,0.136212625,0.216650564,0.122291022
7.117205503,2.564949357,3.465735903,20.99412059,21.17852045,21.06251829,3.784189634,0.152572234,0.070576363,0.0145022
4.700480366,0,1.098612289,21.15624085,21.17154025,21.1588221,1.098612289,0.328165375,0.284037797,0.33126935
6.398594935,0.693147181,1.386294361,21.09993789,21.15754621,21.10256167,1.386294361,0.748062016,0.240376769,0.33126935
6.590301048,1.945910149,2.079441542,21.13196479,21.16682444,21.13604187,2.079441542,0.244186047,0.240767718,0.122291022
5.963579344,2.079441542,2.995732274,21.02421747,21.17884051,21.0480107,2.708050201,0.059431525,0.126249333,0.047058824
7.118826249,0.693147181,2.197224577,21.16590508,21.17903582,21.16711255,2.397895273,0.083861875,0.213228848,0.14020345
6.597145702,3.33220451,4.143134726,20.99424446,21.16984071,21.09147122,4.9698133,0.041236003,0.009882463,0.013692242
6.80682936,2.63905733,3.433987204,20.99424446,21.16588858,21.07608914,3.610917913,0.04672114,0.093147739,0.0145022
6.421622268,1.791759469,2.995732274,20.99424446,21.17807656,21.118096,3.465735903,0.275678295,0.122387608,0.069856459
7.663877259,3.401197382,4.077537444,20.99386431,21.16725815,21.02747113,3.931825633,0.031767746,0.047523426,0.050402477
6.042632834,1.386294361,1.609437912,21.14710757,21.16385062,21.14719434,1.609437912,0.19379845,0.270971879,0.19752322
4.828313737,1.386294361,2.302585093,21.11593917,21.16770438,21.13656088,2.302585093,0.093023256,0.200980373,0.30554894
6.025865974,1.945910149,2.944438979,21.10425711,21.16683071,21.11582264,2.564949357,0.224806202,0.181460358,0.12774263
5.18178355,0,1.609437912,21.14411157,21.1483538,21.14455098,2.197224577,0.1042205,0.178750661,0.19752322
6.877296071,2.708050201,3.044522438,20.98947983,21.17434024,21.00008532,3.33220451,0.064230343,0.057024747,0.0145022
7.185387016,1.791759469,2.302585093,20.99424446,21.17924152,20.99842291,2.564949357,0.069767442,0.100602827,0.05590967
5.828945618,1.386294361,1.386294361,21.13934976,21.17169119,21.13946784,1.609437912,0.19379845,0.266588776,0.33126935
6.196444128,1.386294361,2.302585093,21.08668644,21.13297338,21.10961828,1.791759469,0.160206718,0.221565151,0.122291022
5.855071922,1.791759469,2.079441542,21.11849294,21.16770438,21.13095287,2.197224577,0.1042205,0.220615561,0.14020345
7.083387848,3.091042453,4.465908119,21.10303259,21.17791027,21.13215229,2.995732274,0.143410853,0.192833995,0.05590967
6.118097198,2.48490665,2.833213344,21.04183752,21.16770438,21.05967372,3.17805383,0.07622739,0.104057844,0.029261959
6.483107351,2.197224577,2.890371758,21.07763962,21.16817523,21.08206286,2.890371758,0.048234281,0.137991703,0.122291022
7.038783541,2.890371758,3.433987204,21.00708392,21.14889064,21.05773034,3.663561646,0.095607235,0.074871237,0.081705713
7.321188557,3.091042453,4.110873864,20.98169161,21.17269231,21.04228289,4.234106505,0.036063364,0.028585456,0.010835913
7.631916513,3.401197382,4.59511985,20.99127169,21.17555681,21.03250124,4.86753445,0,-0.023780402,0.005263158
6.64509097,2.302585093,3.891820298,21.12551541,21.18498706,21.1504483,4.094344562,0.07622739,0.097993725,0.168164313
5.463831805,1.609437912,2.079441542,21.16813699,21.17785799,21.16914168,2.079441542,0.118217054,0.253608392,0.373065015
7.173191742,2.197224577,3.401197382,20.99308567,21.18054515,21.02216837,4.143134726,0.008244125,-0.00084478,0.077962285
6.705639095,2.63905733,3.80666249,21.00393645,21.16770438,21.039935,4.094344562,0.009043928,0.020852571,0.028917726
7.427738841,2.079441542,3.401197382,20.99412059,21.17554092,21.01155668,3.63758616,0.01876785,0.028667298,0.04969855
6.00635316,1.386294361,2.302585093,21.15538444,21.17967375,21.15714985,2.397895273,0.2670895,0.216255215,0.068553737
7.438971592,2.564949357,2.63905733,20.98693418,21.17811841,20.99776376,2.833213344,0.051527588,0.09778747,0.02556391
8.258681496,3.091042453,3.931825633,20.99424446,21.16725815,21.00449818,4.110873864,0.025289109,0.009512608,0.021172476
8.712266432,4.189654742,6.042632834,20.97096313,21.18075243,21.05079792,6.304448802,0.025409917,-0.100852881,0.06391246
6.91671502,1.945910149,2.079441542,21.15947001,21.18005224,21.1602678,2.079441542,0.370155039,0.263742202,0.283502875
6.410174882,2.564949357,3.663561646,21.05724044,21.17758953,21.10051815,4.043051268,0.098327213,0.070490982,0.050260194
6.968850378,1.098612289,2.995732274,21.14625861,21.17730131,21.1680863,3.401197382,0.126614987,0.140549276,0.074065254
7.776535028,3.135494216,4.248495242,20.99424446,21.17968216,21.02348509,4.454347296,0.015684154,-0.001635551,0.077444578
6.747586527,2.564949357,3.33220451,21.10831828,21.17791338,21.1224812,3.496507561,0.083861875,0.131351942,0.037027864
7.184629153,1.609437912,3.044522438,21.12589965,21.17011428,21.13500292,3.135494216,0.123693967,0.147809471,0.108359133
4.86753445,2.079441542,2.079441542,21.1285183,21.17939912,21.13758794,2.302585093,0.093023256,0.221040059,0.19752322
6.464588304,2.302585093,2.48490665,21.1165014,21.17924152,21.13055273,2.772588722,0.118217054,0.191107497,0.171355499
7.105786129,1.791759469,2.302585093,21.15640408,21.17912645,21.15672586,2.48490665,0.244186047,0.224435436,0.398142415
6.079933195,2.564949357,3.433987204,21.02697424,21.17856725,21.13222482,3.871201011,0.013242894,0.113614965,0.014198783
