1v,hour,bugs
1,206,35
2,276,20
3,421,194
4,543,96
5,665,75
6,758,152
7,835,53
8,902,178
9,1026,176
10,1126,75
11,1224,147
12,1292,15
13,1405,39
14,1573,118
15,1728,91
16,1914,73
17,1989,157
18,2088,65
19,2222,24
20,2304,196
21,2443,168
22,2511,160
23,2582,57
24,2654,116
25,2795,111
26,2852,10
27,2943,140
28,3036,107
29,3088,42
30,3159,77
31,3261,102
32,3333,44
33,3521,68
34,3615,139
35,3780,50
36,3900,164
37,3950,182
38,4022,80
39,4081,91
40,4261,44
41,4429,63
42,4501,46
43,4582,96
44,4651,165
45,4763,493
46,4767,4
47,4777,2
48,4910,53
49,5066,43
50,5172,37
51,5280,187
52,5405,53
53,5582,158
54,5706,62
55,5779,54
56,5918,55
57,6041,93
58,6110,45
59,6179,49
60,6323,246
61,6403,24
62,6471,22
63,6621,110
64,6672,23
65,6686,2
66,6778,30
67,6832,218
68,7116,167
69,7223,91
70,7356,116
71,7465,127
72,7619,170
73,7695,64
74,7805,140
75,7956,94
76,8028,45
77,8148,110
78,8197,41
79,8563,144
80,8709,31
81,8784,223
82,8965,124
83,9012,22
84,9116,60
85,9205,96
86,9311,150
87,9377,56
88,9493,68
89,9589,91
90,9690,73
91,9881,37
92,10149,98
93,10238,109
94,10322,28
95,10476,62
96,10549,64
97,10668,69
98,10821,47
99,10968,202
100,11028,36
101,11029,2
102,11150,64
103,11221,23
104,11318,73
105,11470,53
106,11666,135
107,11801,35
108,11898,184
109,11986,41
110,12153,108
111,12217,121
112,12491,70
113,12564,93
114,12732,73
115,12852,56
116,12900,50
117,12994,77
118,13053,42
119,13150,33
120,13198,115
121,13318,64
122,13413,79
123,13555,194
124,13764,70
125,13815,38
126,13911,81
127,13967,6
128,14003,54
129,14075,46
130,14144,52
131,14189,2
132,14344,45
133,14509,56
134,14772,81
135,15010,293
136,15108,26
137,15166,60
138,15237,34
139,15397,70
140,15614,72
141,15707,64
142,15901,59
143,15998,40
144,16139,21
145,16212,46
146,16258,60
147,16600,185
148,16654,69
149,16749,60
150,16897,66
151,17173,118
152,17368,97
153,17463,63
154,17519,155
155,17710,239
156,17796,123
157,17965,205
158,18067,211
159,18360,275
160,18447,37
161,18688,163
162,18786,90
163,18902,73
164,18976,63
165,19032,41
166,19103,72
167,19236,66
168,19339,340
169,19387,47
170,19555,90
171,19778,173
172,20108,234
173,20398,127
174,20607,100
