1v,hour,bugs
1,319,25
2,540,362
3,721,206
4,768,43
5,872,118
6,961,107
7,1067,140
8,1133,42
9,1249,119
10,1345,144
11,1403,45
12,1446,68
13,1638,47
14,1906,170
15,1994,150
16,2078,51
17,2222,102
18,2305,107
19,2424,104
20,2577,75
21,2724,308
22,2784,45
23,2785,2
24,2906,86
25,2977,29
26,3074,154
27,3226,79
28,3335,69
29,3422,149
30,3557,53
31,3660,281
32,3742,45
33,3909,135
34,3973,187
35,4248,102
36,4320,110
37,4488,99
38,4609,102
39,4656,73
40,4686,24
41,4750,102
42,4809,66
43,4906,31
44,4955,114
45,5087,103
46,5169,116
47,5311,277
48,5399,33
49,5520,74
50,5571,53
51,5667,119
52,5723,5
53,5759,76
54,5831,62
55,5834,2
56,5900,92
57,6100,75
58,6265,91
59,6359,91
60,6528,48
61,6648,271
62,6695,52
63,6766,114
64,6864,34
65,6922,82
66,6993,46
67,7153,92
68,7370,86
69,7463,101
70,7657,95
71,7660,2
72,7754,57
73,7895,190
74,7968,51
75,8014,80
76,8255,64
77,8356,211
78,8410,107
79,8505,114
80,8654,82
81,8929,94
82,9125,151
83,9219,80
84,9275,170
85,9467,420
86,9552,221
87,9721,299
88,9817,322
89,10009,254
90,10116,159
91,10203,48
92,10448,219
93,10547,113
94,10658,114
95,10732,84
96,10788,48
97,10860,85
98,10992,104
99,11095,635
100,11145,93
101,11210,56
102,11312,72
103,11453,196
104,11534,55
105,11652,39
106,11760,185
107,11865,97
108,12009,85
109,12150,86
110,12266,2
111,12311,90
112,12364,44
