1v,hour,bugs
1,500,69
2,909,120
3,1101,136
4,1272,343
5,1416,75
6,1576,51
7,2225,210
8,2407,137
9,2758,163
10,2914,68
11,3097,73
12,3428,87
13,3578,98
14,3978,82
15,4385,33
16,4769,147
17,5098,68
18,5240,50
19,5345,137
20,5767,114
21,5959,193
22,6177,120
23,6321,74
24,6494,94
25,6712,22
26,6800,3
27,6851,26
28,6992,112
29,7069,52
30,7082,3
31,7312,70
32,7423,36
33,7498,39
34,7570,38
35,7689,32
36,7833,24
37,7975,14
38,8035,29
39,8153,17
40,8675,62
41,8744,59
42,8819,104
43,8893,28
44,9010,49
45,9152,43
46,9296,24
47,9369,21
48,9488,30
49,9624,21
50,9712,20
51,9833,16
52,9899,26
53,10230,93
54,10298,37
55,10380,36
56,10476,29
57,10571,31
58,10664,76
59,10689,15
60,10880,27
61,10979,33
62,11118,19
63,11192,46
64,11336,28
65,11404,18
66,11477,44
67,11598,22
68,11748,59
69,11893,56
70,12013,102
71,12323,52
72,12492,90
73,12557,47
74,12774,33
75,12851,27
76,12997,100
77,13234,57
78,13374,58
79,13535,84
80,13779,91
81,13889,59
82,13923,16
83,14013,24
84,14209,21
85,14337,54
86,14406,16
87,14527,17
88,14686,33
89,15009,66
90,15200,43
91,15273,50
92,15370,48
93,15512,29
94,15592,47
95,15729,34
96,15873,21
97,16018,40
98,16193,53
99,16259,29
100,16329,61
101,16400,20
102,16403,2
103,16545,98
104,16667,28
105,16770,48
106,16930,106
107,17026,115
108,17150,79
109,17348,65
110,17415,42
111,17529,23
112,17697,94
113,17851,55
114,18036,76
115,18113,68
116,18428,109
117,18567,34
118,18635,193
119,18706,22
120,18778,35
121,18976,37
122,19139,64
123,19233,131
124,19282,98
125,19385,44
126,19457,21
127,19642,73
128,19770,192
129,20024,98
130,20142,51
131,20223,44
132,20553,57
133,20791,92
134,20886,267
135,20901,2
136,21063,36
137,21231,25
138,21296,25
139,21706,106
140,21903,48
141,22042,44
142,22094,4
143,22165,32
144,22233,108
145,22302,24
146,22527,123
147,22595,13
148,22744,46
149,22795,14
150,22809,2
151,22902,23
152,22956,79
153,23046,6
154,23240,81
155,23347,48
156,23480,61
157,23589,57
158,23743,69
159,23819,29
160,24079,114
161,24152,27
162,24320,48
163,24832,116
164,25089,161
165,25240,71
166,25329,85
167,25617,91
168,25725,89
169,25814,41
170,26362,86
171,26446,52
172,26673,105
173,26947,55
174,26987,35
175,27274,144
176,27345,21
177,28016,231
178,28277,132
179,28856,170
180,29322,267
181,29939,244
182,30090,5
183,30199,85
184,30313,2
185,30632,74
186,30896,41
187,31232,157
188,31289,23
189,31403,22
190,31737,79
191,32025,77
192,32122,24
193,32263,10
194,32382,58
195,32723,100
196,32779,36
197,33021,80
198,33297,40
199,33492,48
200,33587,76
