,file_name,lines,authors,shas,the_first_time,the_last_time,average_date,fixes_percent,total_shas,last_fixes
0,kernel/sched/autogroup.c,268,11,17,1311247043.0,1524207825.0,1354718576.4701493,6.789007427911723,596803,1da8347d8505
1,kernel/sched/core.c,7970,127,540,1291626631.0,1579007387.0,1415549564.835508,6.789007427911723,596803,1da8347d8505
